Unnamed: 0,unidad,calle_unidad,nro_unidad,barrio_unidad,distrito,zona,manzana,parcela,Nomenclatu,Categoria_perfil,Descripcion_perfil,geometry,Estado,Tipo_Parce,_merge,gestor,tasa_interes_anual,plazo_meses,capital_original,fecha_inicio,fecha_vencimiento,dias_mora,score_riesgo,bucket_mora,estado_credito,saldo_capital,intereses_devengados,saldo_total,pagos_ultimo_mes,fecha_ultimo_pago
10,205370,HEROES DE VILCAPUGIO                    ,1898,YOFRE NORTE                             ,1,7,58,1,1101010107058001,Perfil Con Límites,"Perfil Con Límites. Sin actividad declarada. NSE sin determinar. Con atrasos vigentes en el sistema financiero. Con atrasos en los últimos 6 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $141.500,00 y $142.000,00.","POLYGON ((4391908.93991507 6527568.50361913, 4391908.97116664 6527578.75358924, 4391935.25234042 6527578.94108446, 4391935.40858834 6527568.87861378, 4391908.93991507 6527568.50361913))",EDIFICADO NoPH,URBANO,both,Estudio C,72,18,477000,2024-07-20,2026-01-20,76,38,61-90 días,En mora,99300,14900,114200,0,2026-02-02
11,205761,"PALENCIA, RAFAEL ANTONIO DE             ",3110,YOFRE NORTE                             ,1,8,4,23,1101010108004023,Perfil Con Límites,Perfil Con Límites. Sin actividad declarada. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4392269.43901319 6528465.06344563, 4392269.34526542 6528477.25091008, 4392282.62647688 6528477.37590759, 4392282.5327252 6528465.18844317, 4392269.43901319 6528465.06344563))",EDIFICADO NoPH,URBANO,both,Estudio D,96,36,448000,2022-11-07,2025-11-07,34,46,31-60 días,En mora,41700,3700,45400,0,2026-02-25
12,205761,"PALENCIA, RAFAEL ANTONIO DE             ",3110,YOFRE NORTE                             ,1,8,4,23,1101010108004023,Perfil Insuficiente,"Perfil Insuficiente. Con actividad. NSE D2. De cumplimiento normal con entidades financieras. Con mora en los últimos 24 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $538.500,00 y $539.000,00.","POLYGON ((4392269.43901319 6528465.06344563, 4392269.34526542 6528477.25091008, 4392282.62647688 6528477.37590759, 4392282.5327252 6528465.18844317, 4392269.43901319 6528465.06344563))",EDIFICADO NoPH,URBANO,both,Estudio C,60,24,340000,2024-08-01,2026-08-01,142,35,91-180 días,En mora,186300,43500,229800,0,2025-12-01
13,205761,"PALENCIA, RAFAEL ANTONIO DE             ",3110,YOFRE NORTE                             ,1,8,4,23,1101010108004023,Perfil Con Límites,"Perfil Con Límites. Sin actividad declarada. NSE sin determinar. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $37.000,00 y $37.500,00.","POLYGON ((4392269.43901319 6528465.06344563, 4392269.34526542 6528477.25091008, 4392282.62647688 6528477.37590759, 4392282.5327252 6528465.18844317, 4392269.43901319 6528465.06344563))",EDIFICADO NoPH,URBANO,both,Estudio D,72,6,250000,2023-07-02,2024-01-02,60,50,31-60 días,En mora,41100,4900,46000,0,2026-02-14
14,205899,"MESA Y CASTRO, PABLO DE                 ",2319,YOFRE NORTE                             ,1,8,10,11,1101010108010011,Perfil Insuficiente,Perfil Insuficiente. Empresa Micro. Cuit Inactivo Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada.,"POLYGON ((4392403.43856116 6528072.37706993, 4392403.53230947 6528063.56459563, 4392391.90734318 6528063.37709803, 4392377.43863513 6528063.12710108, 4392377.40738667 6528072.12707483, 4392403.43856116 6528072.37706993))",EDIFICADO NoPH,URBANO,both,Estudio C,84,24,1706000,2023-01-11,2025-01-11,135,30,91-180 días,En gestión judicial,631000,196000,827000,0,2025-11-29
15,205899,"MESA Y CASTRO, PABLO DE                 ",2319,YOFRE NORTE                             ,1,8,10,11,1101010108010011,Perfil Insuficiente,Perfil Insuficiente. Empresa Micro. Cuit Inactivo Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada.,"POLYGON ((4392403.43856116 6528072.37706993, 4392403.53230947 6528063.56459563, 4392391.90734318 6528063.37709803, 4392377.43863513 6528063.12710108, 4392377.40738667 6528072.12707483, 4392403.43856116 6528072.37706993))",EDIFICADO NoPH,URBANO,both,Estudio D,120,36,264000,2022-10-27,2025-10-27,133,35,91-180 días,En mora,96200,42100,138300,7300,2025-11-14
16,207746,CARLOS III                              ,2133,TALLERES ESTE                           ,1,10,37,7,1101010110037007,Perfil Con Límites,"Perfil Con Límites. Con actividad. NSE sin determinar. De cumplimiento normal con entidades financieras. Con atrasos en los últimos 12 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $9.500,00 y $10.000,00.","POLYGON ((4390789.47441012 6527549.62885516, 4390773.0369597 6527561.25382393, 4390766.91197817 6527565.56631234, 4390773.13071148 6527573.87878709, 4390778.4848506 6527569.81754957, 4390795.13064493 6527557.19133218, 4390789.47441012 6527549.62885516))",BALDIO,URBANO,both,Estudio C,96,6,227000,2023-12-24,2024-06-24,55,40,31-60 días,En mora,34200,4900,39100,0,2026-02-21
17,211007,GALEOTTI                                ,960,GENERAL BUSTOS                          ,1,12,45,30,1101010112045030,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE C3. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $22.000,00 y $22.500,00.","POLYGON ((4388780.38641603 6527108.63047066, 4388759.07397909 6527116.13045232, 4388761.60522294 6527123.31793095, 4388782.79266021 6527115.63044986, 4388780.38641603 6527108.63047066))",EDIFICADO NoPH,URBANO,both,Estudio A,120,18,491000,2022-05-01,2023-11-01,16,68,1-30 días,En mora,21500,2100,23600,27300,2026-03-13
18,211678,"JUSTO, JUAN B.                          ",3346,GENERAL BUSTOS                          ,1,13,35,21,1101010113035021,Perfil Adecuado,Perfil Adecuado. Con actividad. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4388179.60698689 6527577.69170248, 4388179.9819858 6527577.69170242, 4388190.26320597 6527577.69170071, 4388186.95071395 6527567.87922987, 4388150.01332101 6527567.25423785, 4388149.76332344 6527577.504208, 4388160.2320431 6527577.6917057, 4388170.57576307 6527577.56670434, 4388179.60698689 6527577.69170248))",EDIFICADO PH,URBANO,both,Estudio D,84,36,432000,2023-03-18,2026-03-18,24,59,1-30 días,En mora,28400,2000,30400,12000,2026-02-27
19,212017,REPUBLICA                               ,1022,GENERAL BUSTOS                          ,1,13,45,30,1101010113045030,Perfil Bueno,"Perfil Bueno. Con actividad. NSE C2. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $6.000,00 y $6.500,00.","POLYGON ((4388372.38763804 6527340.25486287, 4388357.70018147 6527345.19235093, 4388360.32517511 6527352.75482843, 4388383.85635554 6527344.87984749, 4388381.2938617 6527337.25487015, 4388372.38763804 6527340.25486287))",EDIFICADO NoPH,URBANO,both,Estudio B,84,24,135000,2023-01-15,2025-01-15,16,66,1-30 días,En mora,5900,400,6300,5600,2026-03-08
20,212229,ICA                                     ,252,GENERAL BUSTOS                          ,1,13,53,4,1101010113053004,Perfil Insuficiente,"Perfil Insuficiente. Sin actividad declarada. NSE sin determinar. Con mora vigente en el sistema financiero. Con mora en los últimos 6 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $4.000,00 y $4.500,00.","POLYGON ((4388477.51231047 6527204.38024165, 4388476.94981214 6527204.5677412, 4388479.6685557 6527213.31771523, 4388471.73108356 6527242.3801318, 4388482.82480191 6527245.50512084, 4388491.98102027 6527215.06770809, 4388487.07478223 6527201.31774899, 4388481.23104949 6527203.1927445, 4388477.51231047 6527204.38024165))",EDIFICADO NoPH,URBANO,both,Estudio C,84,6,795000,2022-06-18,2022-12-18,62,37,61-90 días,En mora,135000,19300,154300,0,2026-02-10
21,212229,ICA                                     ,252,GENERAL BUSTOS                          ,1,13,53,4,1101010113053004,Perfil Con Límites,Perfil Con Límites. Sin actividad declarada. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4388477.51231047 6527204.38024165, 4388476.94981214 6527204.5677412, 4388479.6685557 6527213.31771523, 4388471.73108356 6527242.3801318, 4388482.82480191 6527245.50512084, 4388491.98102027 6527215.06770809, 4388487.07478223 6527201.31774899, 4388481.23104949 6527203.1927445, 4388477.51231047 6527204.38024165))",EDIFICADO NoPH,URBANO,both,Estudio B,120,6,339000,2023-01-22,2023-07-22,84,55,61-90 días,En mora,78000,21500,99500,0,2026-01-26
22,212229,ICA                                     ,252,GENERAL BUSTOS                          ,1,13,53,4,1101010113053004,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE C3. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $308.000,00 y $308.500,00.","POLYGON ((4388477.51231047 6527204.38024165, 4388476.94981214 6527204.5677412, 4388479.6685557 6527213.31771523, 4388471.73108356 6527242.3801318, 4388482.82480191 6527245.50512084, 4388491.98102027 6527215.06770809, 4388487.07478223 6527201.31774899, 4388481.23104949 6527203.1927445, 4388477.51231047 6527204.38024165))",EDIFICADO NoPH,URBANO,both,Estudio A,120,24,166000,2023-08-03,2025-08-03,19,66,1-30 días,En mora,8600,800,9400,0,2026-03-28
23,212553,SARAVIA                                 ,854,GENERAL BUSTOS                          ,1,14,8,32,1101010114008032,Perfil Excelente,"Perfil Excelente. Con actividad. NSE A. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $1.207.000,00 y $1.207.500,00.","POLYGON ((4388867.01113931 6526955.1309039, 4388852.0736835 6526960.38089106, 4388828.16750422 6526968.69337078, 4388831.47999618 6526978.13084272, 4388870.35488113 6526964.25587674, 4388867.01113931 6526955.1309039))",EDIFICADO PH,URBANO,both,Estudio D,120,18,832000,2024-01-13,2025-07-13,0,96,Al día,Vigente,0,0,0,46200,2026-03-14
24,212553,SARAVIA                                 ,854,GENERAL BUSTOS                          ,1,14,8,32,1101010114008032,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE C3. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $86.500,00 y $87.000,00.","POLYGON ((4388867.01113931 6526955.1309039, 4388852.0736835 6526960.38089106, 4388828.16750422 6526968.69337078, 4388831.47999618 6526978.13084272, 4388870.35488113 6526964.25587674, 4388867.01113931 6526955.1309039))",EDIFICADO PH,URBANO,both,Estudio D,108,48,561000,2022-04-05,2026-04-05,27,66,1-30 días,En mora,41500,3700,45200,11700,2026-03-20
25,213001,GROTE PADRE                             ,637,GENERAL BUSTOS                          ,1,14,23,21,1101010114023021,Perfil Nulo,Perfil Nulo. Persona fallecida. (Fuente: AFIP),"POLYGON ((4388466.01229472 6526909.19360425, 4388476.07476495 6526905.63111297, 4388469.35603116 6526885.94367148, 4388467.76228501 6526881.31868523, 4388457.94981404 6526884.75617684, 4388462.88730221 6526899.75613228, 4388466.01229472 6526909.19360425))",EDIFICADO PH,URBANO,both,Estudio C,96,24,149000,2024-08-14,2026-08-14,303,28,+180 días,En mora,145500,116000,261500,0,2025-06-03
26,213001,GROTE PADRE                             ,637,GENERAL BUSTOS                          ,1,14,23,21,1101010114023021,Perfil Bueno,"Perfil Bueno. Con actividad. NSE C2. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $276.000,00 y $276.500,00.","POLYGON ((4388466.01229472 6526909.19360425, 4388476.07476495 6526905.63111297, 4388469.35603116 6526885.94367148, 4388467.76228501 6526881.31868523, 4388457.94981404 6526884.75617684, 4388462.88730221 6526899.75613228, 4388466.01229472 6526909.19360425))",EDIFICADO PH,URBANO,both,Estudio B,96,48,1257000,2024-08-20,2028-08-20,5,67,1-30 días,En mora,762300,60100,822400,26200,2026-04-06
27,213001,GROTE PADRE                             ,637,GENERAL BUSTOS                          ,1,14,23,21,1101010114023021,Perfil Muy Bueno,"Perfil Muy Bueno. Con actividad. NSE C1. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $137.500,00 y $138.000,00.","POLYGON ((4388466.01229472 6526909.19360425, 4388476.07476495 6526905.63111297, 4388469.35603116 6526885.94367148, 4388467.76228501 6526881.31868523, 4388457.94981404 6526884.75617684, 4388462.88730221 6526899.75613228, 4388466.01229472 6526909.19360425))",EDIFICADO PH,URBANO,both,Estudio D,120,12,574000,2024-01-29,2025-01-29,11,81,1-30 días,En mora,17300,1700,19000,47800,2026-03-19
28,213860,"GIANELLI, ANTONIO MARIA                 ",709,GENERAL BUSTOS                          ,1,14,46,31,1101010114046031,Perfil Insuficiente,"Perfil Insuficiente. Empresa Micro. Sector económico: Construccion. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Registra edictos históricos referidos a quiebras,  concursos o acuerdos preventivos extrajudicial.","POLYGON ((4388440.88730021 6526504.19478908, 4388427.76233906 6526508.94477741, 4388434.32482326 6526528.38221966, 4388447.57478411 6526524.00723022, 4388440.88730021 6526504.19478908))",EDIFICADO NoPH,URBANO,both,Estudio C,72,18,360000,2024-10-10,2026-04-10,126,35,91-180 días,En mora,126200,31400,157600,0,2025-11-29
29,213860,"GIANELLI, ANTONIO MARIA                 ",709,GENERAL BUSTOS                          ,1,14,46,31,1101010114046031,Perfil Insuficiente,"Perfil Insuficiente. Con actividad. NSE D2. Con mora vigente en el sistema financiero. Con mora en los últimos 6 meses según BCRA. Registra información judicial relevada y/o edictos publicados. Registra un compromiso mensual entre $29.000,00 y $29.500,00.","POLYGON ((4388440.88730021 6526504.19478908, 4388427.76233906 6526508.94477741, 4388434.32482326 6526528.38221966, 4388447.57478411 6526524.00723022, 4388440.88730021 6526504.19478908))",EDIFICADO NoPH,URBANO,both,Estudio B,84,6,1103000,2023-04-15,2023-10-15,93,34,91-180 días,En gestión judicial,281000,60100,341100,0,2026-01-01
30,214088,GALEOTTI                                ,358,GENERAL BUSTOS                          ,1,14,52,34,1101010114052034,Perfil Adecuado,Perfil Adecuado. Con actividad. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4388514.61464466 6526409.37400924, 4388517.74940111 6526418.65351767, 4388543.05236939 6526410.56160307, 4388539.65263563 6526400.77203516, 4388514.61464466 6526409.37400924))",EDIFICADO NoPH,URBANO,both,Estudio B,120,24,405000,2024-06-19,2026-06-19,8,54,1-30 días,En mora,49400,4900,54300,16900,2026-03-21
31,214088,GALEOTTI                                ,358,GENERAL BUSTOS                          ,1,14,52,34,1101010114052034,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE C3. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $490.000,00 y $490.500,00.","POLYGON ((4388514.61464466 6526409.37400924, 4388517.74940111 6526418.65351767, 4388543.05236939 6526410.56160307, 4388539.65263563 6526400.77203516, 4388514.61464466 6526409.37400924))",EDIFICADO NoPH,URBANO,both,Estudio A,84,12,355000,2024-03-08,2025-03-08,19,68,1-30 días,En mora,18500,1300,19800,29600,2026-03-05
32,214166,"ALEM, LEANDRO N. AV.                    ",201,GENERAL BUSTOS                          ,1,14,54,20,1101010114054020,Perfil Insuficiente,Perfil Insuficiente. Sin registraciones de deuda vigente en BCRA. Con mora en los últimos 18 meses según BCRA. Sin información judicial relevada.,,,,left_only,Estudio A,72,18,228000,2023-09-09,2025-03-09,156,39,91-180 días,En gestión judicial,97400,30000,127400,0,2025-11-06
33,214166,"ALEM, LEANDRO N. AV.                    ",201,GENERAL BUSTOS                          ,1,14,54,20,1101010114054020,Perfil Insuficiente,Perfil Insuficiente. Sin registraciones de deuda vigente en BCRA. Con mora en los últimos 18 meses según BCRA. Sin información judicial relevada.,,,,left_only,Estudio C,96,18,544000,2022-07-16,2024-01-16,120,36,91-180 días,En mora,178800,56400,235200,0,2025-12-07
34,214394,"JUSTO, JUAN B.                          ",2376,GENERAL BUSTOS                          ,1,14,59,44,1101010114059044,Perfil Nulo,Perfil Nulo. Persona fallecida. (Fuente: AFIP),"POLYGON ((4388173.91928402 6526262.44553807, 4388173.70053611 6526271.13301279, 4388193.1379786 6526264.25802959, 4388190.41923509 6526255.88305445, 4388173.91928402 6526262.44553807))",EDIFICADO NoPH,URBANO,both,Estudio D,72,12,506000,2023-09-04,2024-09-04,382,23,+180 días,En gestión judicial,404800,305000,709800,0,2025-03-17
35,215546,CHARCAS                                 ,906,GENERAL PUEYRREDON                      ,1,15,28,36,1101010115028036,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE sin determinar. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Registra información judicial relevada y/o edictos publicados. Registra un compromiso mensual entre $65.500,00 y $66.000,00.","POLYGON ((4388309.79376417 6525506.38521862, 4388304.63753178 6525522.38517287, 4388304.48128241 6525523.4476698, 4388304.79378167 6525524.51016665, 4388305.32503026 6525525.32266419, 4388306.1062781 6525525.88516243, 4388312.16876086 6525527.88515559, 4388316.6687455 6525513.94769545, 4388318.1062414 6525514.38519394, 4388319.73123587 6525509.38520824, 4388309.79376417 6525506.38521862))",EDIFICADO NoPH,URBANO,both,Estudio A,120,6,366000,2024-09-14,2025-03-14,34,64,31-60 días,En mora,34100,3800,37900,0,2026-02-22
36,215627,"FRIAS, FELIX                            ",1162,GENERAL PUEYRREDON                      ,1,15,29,64,1101010115029064,Perfil Nulo,Perfil Nulo. Persona fallecida. (Fuente: AFIP),,,,left_only,Estudio D,120,24,208000,2024-12-15,2026-12-15,187,27,+180 días,En mora,178400,109700,288100,0,2025-10-03
37,215627,"FRIAS, FELIX                            ",1162,GENERAL PUEYRREDON                      ,1,15,29,64,1101010115029064,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE D1. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $25.000,00 y $25.500,00.",,,,left_only,Estudio D,72,48,397000,2023-05-07,2027-05-07,15,52,1-30 días,En mora,123600,7300,130900,8300,2026-03-27
38,215627,"FRIAS, FELIX                            ",1162,GENERAL PUEYRREDON                      ,1,15,29,64,1101010115029064,Perfil Nulo,Perfil Nulo. Persona fallecida. (Fuente: AFIP),,,,left_only,Estudio B,96,12,345000,2022-09-29,2023-09-29,135,18,91-180 días,En gestión judicial,127600,45300,172900,0,2025-11-12
39,215628,"FRIAS, FELIX                            ",1162,GENERAL PUEYRREDON                      ,1,15,29,65,1101010115029065,Perfil Adecuado,Perfil Adecuado. Con actividad. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,,,,left_only,Estudio C,120,18,142000,2024-03-30,2025-09-30,7,50,1-30 días,En mora,2700,300,3000,7900,2026-03-17
40,215986,SUIPACHA                                ,2055,GENERAL PUEYRREDON                      ,1,16,7,18,1101010116007018,Perfil Bueno,Perfil Bueno. Con actividad. NSE C2. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4389464.19620529 6526294.34816372, 4389454.25010152 6526321.02069861, 4389451.27534146 6526328.99813285, 4389459.15590211 6526331.95658993, 4389472.37642708 6526297.43082439, 4389464.19620529 6526294.34816372))",EDIFICADO NoPH,URBANO,both,Estudio A,108,12,129000,2022-03-25,2023-03-25,29,61,1-30 días,En mora,10200,900,11100,10800,2026-03-07
